task,method,is_selected,family,scope,artifact,artifact_removal_fraction,effective_n,out_of_candidate_subspace_fraction,linearity_max_abs_error,incremental_error_vs_P0,peak_ratio_F3,amplitude_bias_abs,peak_shift_samples_F3,peak_shift_samples_max,relative_waveform_error
1,P0,False,broad_common,single_trial_operator,none,,20,1,9.5714547398983996e-12,0,0.91905684302125612,0.08094315697874388,0,0,0.14493782830339585
1,P0,False,narrow_antisym,single_trial_operator,none,,20,1,7.53563877964325e-12,0,0.97920495178162603,0.02079504821840461,0,0,0.063634699733514474
1,U0_L100,True,broad_common,single_trial_operator,none,,20,1,9.5405905398138202e-12,0.0016025021294567264,0.9173895753054786,0.0826104246945214,0,0,0.14494339133821665
1,U0_L100,True,narrow_antisym,single_trial_operator,none,,20,1,7.4860846688284965e-12,0.084750082921601175,0.8919554326107999,0.10804456738923074,0,0,0.1041981466423067
2,P0,False,broad_common,single_trial_operator,none,,20,1,6.3522520576952957e-11,0,0.91905684302127655,0.080943156978736885,0,0,0.14493782830339161
2,P0,False,narrow_antisym,single_trial_operator,none,,20,1,3.6503022826650522e-11,0,0.97920495178161349,0.020795048218386514,0,0,0.063634699733543076
2,U2_L100,True,broad_common,single_trial_operator,none,,20,0.69470780026755907,6.3386185189528987e-11,0.001597816083585933,0.9173750444091725,0.082658607719592547,0,0,0.1449743030519442
2,U2_L100,True,narrow_antisym,single_trial_operator,none,,20,0.99865705850909414,3.6502745270894366e-11,0.084749910312326981,0.89193067726116304,0.10806932273883696,0,0,0.10420724226063087
