branch,task,channel,time_s,common,difference
P0,1,Fz,-0.19921875,0.01128216154902572,0.25651056610410627
P0,1,Fz,-0.1953125,0.068198520342222582,-0.54414338819638575
P0,1,Fz,-0.19140625,0.15822122710850262,-1.3348510692975384
P0,1,Fz,-0.1875,0.26898929049980197,-1.9600202655015644
P0,1,Fz,-0.18359375,0.3982020856918162,-2.2759768195510448
P0,1,Fz,-0.1796875,0.55160000427940625,-2.2034258103092133
P0,1,Fz,-0.17578125,0.72933836356978676,-1.7699942949295204
P0,1,Fz,-0.171875,0.91072994860100387,-1.111359129239109
P0,1,Fz,-0.16796875,1.0516211017841186,-0.42505099326564399
P0,1,Fz,-0.1640625,1.1010805154793339,0.10133252395721892
P0,1,Fz,-0.16015625,1.0289374892796004,0.35404323383187708
P0,1,Fz,-0.15625,0.84510372984643201,0.32204865937993321
P0,1,Fz,-0.15234375,0.5948001095793356,0.082653585539975705
P0,1,Fz,-0.1484375,0.3308914255980096,-0.24183180311145311
P0,1,Fz,-0.14453125,0.083763765217950911,-0.53089580594825303
P0,1,Fz,-0.140625,-0.14770253781302026,-0.69829039488006339
P0,1,Fz,-0.13671875,-0.37924827369845071,-0.70743396345227527
P0,1,Fz,-0.1328125,-0.61619645608961371,-0.57309562773975786
P0,1,Fz,-0.12890625,-0.84172063213242332,-0.34929305944043276
P0,1,Fz,-0.125,-1.0239871577311175,-0.10285203993887426
P0,1,Fz,-0.12109375,-1.1311947282426593,0.11983374700579841
P0,1,Fz,-0.1171875,-1.1410440434420765,0.31635307293873915
P0,1,Fz,-0.11328125,-1.0407683557904321,0.52608077285142207
P0,1,Fz,-0.109375,-0.82431638853776157,0.79932014499292725
P0,1,Fz,-0.10546875,-0.49555159444611407,1.1546646298791641
P0,1,Fz,-0.1015625,-0.078893661553238903,1.5533076262333831
P0,1,Fz,-0.09765625,0.37175740027588006,1.9100956328541372
P0,1,Fz,-0.09375,0.77829690562743159,2.1356409204681355
P0,1,Fz,-0.08984375,1.061527349508034,2.1817401517062569
P0,1,Fz,-0.0859375,1.1713543139781115,2.0606338108525453
P0,1,Fz,-0.08203125,1.1061817174027668,1.8285336567458306
P0,1,Fz,-0.078125,0.91066450190340054,1.5504628445062756
P0,1,Fz,-0.07421875,0.65600089266868244,1.2734503849930987
P0,1,Fz,-0.0703125,0.41607068803726271,1.0191413256812833
P0,1,Fz,-0.06640625,0.24896134025616995,0.78589641987036141
P0,1,Fz,-0.0625,0.18455392674396753,0.5505298361154134
P0,1,Fz,-0.05859375,0.21708281521111394,0.27583752015596286
P0,1,Fz,-0.0546875,0.30654578934776677,-0.065049231827008724
P0,1,Fz,-0.05078125,0.39267267554167229,-0.45386145506397874
P0,1,Fz,-0.046875,0.4163878256889425,-0.8097294416821621
P0,1,Fz,-0.04296875,0.33782751537939459,-1.0151040548607813
P0,1,Fz,-0.0390625,0.14490270771929639,-0.9803501742977101
P0,1,Fz,-0.03515625,-0.14563479639545407,-0.70744977698028921
P0,1,Fz,-0.03125,-0.49169027001326232,-0.30674851045750617
P0,1,Fz,-0.02734375,-0.83475004191680269,0.049502220237870542
P0,1,Fz,-0.0234375,-1.1153335866105039,0.21062003306566868
P0,1,Fz,-0.01953125,-1.2917164212101038,0.11911948353978175
P0,1,Fz,-0.015625,-1.3552475779141691,-0.16826183385111548
P0,1,Fz,-0.01171875,-1.3353388262872854,-0.51744816409938532
P0,1,Fz,-0.0078125,-1.28888284242788,-0.78761904420181761
P0,1,Fz,-0.00390625,-1.2743299114639011,-0.89721665138434958
P0,1,Fz,0,-1.3209951666207582,-0.85512297484131838
P0,1,Fz,0.00390625,-1.4114017274184187,-0.74692620418940958
P0,1,Fz,0.0078125,-1.4882293795295825,-0.6857586591090441
P0,1,Fz,0.01171875,-1.4805005159500966,-0.75056662733829271
P0,1,Fz,0.015625,-1.3319892046652209,-0.93887516416575623
P0,1,Fz,0.01953125,-1.0191819093603409,-1.1554512619835033
P0,1,Fz,0.0234375,-0.55984090391604224,-1.2493429947915089
P0,1,Fz,0.02734375,-0.021901087142430054,-1.1020997477587855
P0,1,Fz,0.03125,0.46236022204098365,-0.74726905587291903
P0,1,Fz,0.03515625,0.68863605891188051,-0.46177858145157735
P0,1,Fz,0.0390625,0.406668669616569,-0.74575944617829748
P0,1,Fz,0.04296875,-0.59903087474952466,-2.143032042292154
P0,1,Fz,0.046875,-2.390796538020294,-4.9526667868410303
P0,1,Fz,0.05078125,-4.7870207110089993,-8.9857452928188231
P0,1,Fz,0.0546875,-7.3768632691500917,-13.543269160747966
P0,1,Fz,0.05859375,-9.6630695650649852,-17.677279473329346
P0,1,Fz,0.0625,-11.262580989362327,-20.604594826994607
P0,1,Fz,0.06640625,-12.047196126065661,-22.028335538568363
P0,1,Fz,0.0703125,-12.151669155881079,-22.19128677320467
P0,1,Fz,0.07421875,-11.867933650395335,-21.67079306302362
P0,1,Fz,0.078125,-11.501599609389428,-21.070849483183554
P0,1,Fz,0.08203125,-11.262575961864734,-20.783654096136431
P0,1,Fz,0.0859375,-11.223158680897312,-20.906697676931284
P0,1,Fz,0.08984375,-11.339263854830694,-21.29919994479507
P0,1,Fz,0.09375,-11.509195988390729,-21.709374013588729
P0,1,Fz,0.09765625,-11.638814115277382,-21.9054777643608
P0,1,Fz,0.1015625,-11.686917548577902,-21.766954404381877
P0,1,Fz,0.10546875,-11.67634467138301,-21.316072354216345
P0,1,Fz,0.109375,-11.671652818797874,-20.691719319767401
P0,1,Fz,0.11328125,-11.738362931282854,-20.083168772342553
P0,1,Fz,0.1171875,-11.90551456424993,-19.651183361322062
P0,1,Fz,0.12109375,-12.149571159503751,-19.467773635571334
P0,1,Fz,0.125,-12.405737470290706,-19.49994215741706
P0,1,Fz,0.12890625,-12.598664001559495,-19.641559381553193
P0,1,Fz,0.1328125,-12.675630647157531,-19.770878117414444
P0,1,Fz,0.13671875,-12.626426078617786,-19.799716073295677
P0,1,Fz,0.140625,-12.483984133896559,-19.692762009636439
P0,1,Fz,0.14453125,-12.310737959823237,-19.459284678028343
P0,1,Fz,0.1484375,-12.178928322295818,-19.134330014375493
