task,channel,contrast,block_size,record_id,n_blocks,effect,lag1_correlation,skewness,time_trend_rho,time_trend_p_diagnostic
1,F3,common,10,A_Task-1,10,-3.0859612430237418,-0.20679055561451398,0.91636288222131079,0.24848484848484845,0.48877630451924314
1,F3,common,10,B_Task-1,10,-8.1315189656743545,0.13773493279915591,-0.90696939353407158,0.67272727272727262,0.033041222545437697
1,F3,difference,10,A_Task-1,10,5.0715408782899045,0.17668156670224877,0.75091951525063627,0.10303030303030303,0.77699846344388979
1,F3,difference,10,B_Task-1,10,-16.047212095073839,-0.35249254675367819,-0.25671113016385461,0.13939393939393938,0.70093188491005842
1,F4,common,10,A_Task-1,10,-0.95489270981696883,-0.19133760555429771,0.83547714782314875,0.13939393939393938,0.70093188491005842
1,F4,common,10,B_Task-1,10,-1.8464204054509217,-0.61618793336439714,0.5528769901244549,0.26060606060606062,0.46708905438634019
1,F4,difference,10,A_Task-1,10,5.7750187756848419,0.094309651134226152,0.65413378411947709,0.18787878787878787,0.60321761002920904
1,F4,difference,10,B_Task-1,10,-2.2272231877852287,-0.46742930206371452,-0.67498701206981138,-0.19999999999999998,0.5795840000000001
1,Fz,common,10,A_Task-1,10,-0.73806586960470955,0.53215482482697529,1.3390627974651137,-0.81818181818181823,0.0038149200825507135
1,Fz,common,10,B_Task-1,10,-30.475638045904496,-0.18570291154530311,-1.1093835085439743,-0.066666666666666652,0.85481308824874258
1,Fz,difference,10,A_Task-1,10,-2.1280112598584808,-0.35582929671454822,0.34996931435700385,0.16363636363636364,0.65147734279624281
1,Fz,difference,10,B_Task-1,10,-92.390049372307445,-0.19503985409198973,-1.4598936007592886,-0.2121212121212121,0.55630577510292989
2,F3,common,10,A_Task-2,10,15.459169694406381,0.33621293142983089,-0.57180443568866202,-0.33333333333333326,0.34659350708733405
2,F3,common,10,B_Task-2,10,19.307640495056891,-0.42293194256592914,1.6250582407183358,-0.12727272727272726,0.72605701476278939
2,F3,difference,10,A_Task-2,10,-16.481949402420092,-0.11926366535103267,0.85432624543452795,-0.18787878787878787,0.60321761002920904
2,F3,difference,10,B_Task-2,10,-9.2891695760840527,0.19196511598974947,-2.1996215942122261,-0.018181818181818181,0.96024041812862426
2,F4,common,10,A_Task-2,10,-23.042626959792678,-0.47489212403110648,0.079785895923441416,-0.17575757575757575,0.62718834477648444
