task,record_id,block,block_size,channel,n_left,n_right,left,right,common,difference
2,B_Task-2,0,10,F3,5,5,66.92209181443809,-15.018902194658954,25.951594809889567,81.940994009097039
2,B_Task-2,0,10,F4,5,5,147.95070243174013,10.628209483142751,79.289455957441433,137.32249294859739
2,B_Task-2,1,10,Fz,2,8,-65.095930004408075,-26.383815386314776,-45.739872695361427,-38.712114618093295
2,B_Task-2,1,10,F3,2,8,106.19934487842679,-43.696985707254484,31.251179585586151,149.89633058568126
2,B_Task-2,1,10,F4,2,8,120.318422453656,122.52465022359428,121.42153633862515,-2.2062277699382804
2,B_Task-2,2,10,Fz,6,4,-20.611174137422406,-47.134370338179053,-33.872772237800731,26.523196200756647
2,B_Task-2,2,10,F3,6,4,-37.00470482180782,-33.868738066486344,-35.436721444147082,-3.1359667553214763
2,B_Task-2,2,10,F4,6,4,-303.7282463653541,-46.079765810091693,-174.90400608772291,-257.64848055526238
2,B_Task-2,3,10,Fz,3,7,-3.6175855785084479,-32.650761687706201,-18.134173633107324,29.033176109197754
2,B_Task-2,3,10,F3,3,7,-3.9888907394358881,-33.288855329786131,-18.638873034611009,29.299964590350243
2,B_Task-2,3,10,F4,3,7,-10.794380240539942,-56.787558168756163,-33.79096920464805,45.99317792821622
2,B_Task-2,4,10,Fz,6,4,-25.931171385149387,-13.614840765427022,-19.773006075288205,-12.316330619722365
2,B_Task-2,4,10,F3,6,4,-111.1903879743178,-24.279044663368794,-67.734716318843297,-86.911343310949007
2,B_Task-2,4,10,F4,6,4,-178.15366252640692,-14.097165607158516,-96.125414066782724,-164.05649691924839
2,B_Task-2,5,10,Fz,7,3,-51.591941332758516,-60.979806849034958,-56.285874090896741,9.3878655162764417
2,B_Task-2,5,10,F3,7,3,-76.716468644887826,519.18341443344286,221.23347289427753,-595.89988307833073
2,B_Task-2,5,10,F4,7,3,-94.537814863326147,295.72326771575734,100.59272642621559,-390.26108257908351
2,B_Task-2,6,10,Fz,5,5,-14.164585362600508,-22.444646786686093,-18.304616074643299,8.2800614240855843
2,B_Task-2,6,10,F3,5,5,-19.629648049393229,-11.139494896946223,-15.384571473169725,-8.4901531524470055
2,B_Task-2,6,10,F4,5,5,-27.852369025727029,26.816004453319561,-0.51818228620373397,-54.668373479046593
2,B_Task-2,7,10,Fz,5,5,-29.482911276647354,-45.48154446100822,-37.482227868827785,15.998633184360866
2,B_Task-2,7,10,F3,5,5,-1.6109533116946182,-53.782196159557103,-27.696574735625859,52.171242847862487
2,B_Task-2,7,10,F4,5,5,5.582963842308331,-71.813819505711692,-33.11542783170168,77.396783348020023
2,B_Task-2,8,10,Fz,5,5,40.525873226849072,-18.704176401657953,10.910848412595559,59.230049628507025
2,B_Task-2,8,10,F3,5,5,241.49806415257279,-2.8513116873104094,119.32337623263119,244.34937583988321
2,B_Task-2,8,10,F4,5,5,133.28017436557326,-14.030321934359359,59.624926215606948,147.31049629993262
2,B_Task-2,9,10,Fz,6,4,-23.95996805458438,-33.978296216533678,-28.969132135559029,10.018328161949299
2,B_Task-2,9,10,F3,6,4,-17.847890233751873,-61.735632897085281,-39.791761565418575,43.887742663333412
2,B_Task-2,9,10,F4,6,4,-35.452476465548976,-46.390709283511491,-40.921592874530234,10.938232817962515
1,A_Task-1,0,5,Fz,3,2,-12.770183145896661,2.210810834748739,-5.2796861555739607,-14.980993980645401
1,A_Task-1,0,5,F3,3,2,-68.608313980042965,6.0832852143648068,-31.262514382839079,-74.691599194407772
1,A_Task-1,0,5,F4,3,2,-78.605548570414498,17.963146733158506,-30.321200918627994,-96.568695303573008
1,A_Task-1,1,5,Fz,3,2,3.9132960657620757,4.2687492128901727,4.0910226393261242,-0.35545314712809706
1,A_Task-1,1,5,F3,3,2,-5.6243841255665599,6.1221903464735199,0.24890311045348001,-11.746574472040081
1,A_Task-1,1,5,F4,3,2,-11.149906865469504,7.4796085327161315,-1.8351491663766861,-18.629515398185635
1,A_Task-1,2,5,Fz,2,3,-1.1309633826957559,3.1081837065480702,0.98861016192615714,-4.2391470892438257
1,A_Task-1,2,5,F3,2,3,-49.803687019333317,-0.6529542748469197,-25.228320647090118,-49.150732744486398
1,A_Task-1,2,5,F4,2,3,-28.397595566632695,-6.0043168263482265,-17.200956196490459,-22.393278740284469
1,A_Task-1,3,5,Fz,3,2,-3.471202690503572,8.0973433658066085,2.313070337651518,-11.568546056310181
1,A_Task-1,3,5,F3,3,2,4.0983371737446461,-14.741943806812749,-5.3218033165340515,18.840280980557395
1,A_Task-1,3,5,F4,3,2,-5.581892667732518,5.8764168223218691,0.14726207729467555,-11.458309490054386
1,A_Task-1,4,5,Fz,4,1,5.0512890296592383,4.8497956500280024,4.9505423398436204,0.20149337963123592
1,A_Task-1,4,5,F3,4,1,-2.0598216627350192,-84.598503653844048,-43.329162658289533,82.53868199110903
1,A_Task-1,4,5,F4,4,1,-10.691240673613571,-94.467070682808796,-52.57915567821118,83.775830009195232
