task,condition,channel,method,time_s,mean,ci_low,ci_high
1,-1,Fz,P0,-0.19921875,0.13953744460107886,-1.5624010792335434,1.7454865087263489
1,-1,Fz,P0,-0.1953125,-0.20387317375597028,-1.8679971018363475,1.5778028119590053
1,-1,Fz,P0,-0.19140625,-0.50920430754026658,-2.2588894863201809,1.3959826517481719
1,-1,Fz,P0,-0.1875,-0.71102084225098017,-2.4509762190897297,1.2303193873059881
1,-1,Fz,P0,-0.18359375,-0.73978632408370626,-2.4578957985213341,1.297417766314146
1,-1,Fz,P0,-0.1796875,-0.55011290087520037,-2.3489859189952953,1.4284194375784474
1,-1,Fz,P0,-0.17578125,-0.15565878389497345,-2.1310170938473187,1.7988108486215399
1,-1,Fz,P0,-0.171875,0.35505038398144939,-1.7197330637546206,2.3134585062008814
1,-1,Fz,P0,-0.16796875,0.83909560515129666,-1.3454620012372358,2.8573075118470506
1,-1,Fz,P0,-0.1640625,1.1517467774579433,-1.1276136245414135,3.1924668533761196
1,-1,Fz,P0,-0.16015625,1.2059591061955388,-1.0954250154917242,3.328196969885945
1,-1,Fz,P0,-0.15625,1.0061280595363986,-1.1681977655905469,3.110227752808993
1,-1,Fz,P0,-0.15234375,0.63612690234932345,-1.4404711386330091,2.6300581767318021
1,-1,Fz,P0,-0.1484375,0.20997552404228306,-1.7771480453094355,2.1240643736296776
1,-1,Fz,P0,-0.14453125,-0.18168413775617562,-2.0349913382543559,1.5601900783981009
1,-1,Fz,P0,-0.140625,-0.49684773525305198,-2.5101057102819699,1.1224386077269333
1,-1,Fz,P0,-0.13671875,-0.73296525542458835,-2.9090539373880095,0.87778335992983525
1,-1,Fz,P0,-0.1328125,-0.90274426995949264,-3.1809000665455458,0.76384068967984187
1,-1,Fz,P0,-0.12890625,-1.0163671618526398,-3.2838127573126865,0.7195655610981988
1,-1,Fz,P0,-0.125,-1.0754131777005547,-3.2831081303423995,0.78739457134165936
1,-1,Fz,P0,-0.12109375,-1.0712778547397601,-3.1498259321871167,0.85994602490096617
1,-1,Fz,P0,-0.1171875,-0.98286750697270686,-2.9821239934813004,1.1936435479285834
1,-1,Fz,P0,-0.11328125,-0.77772796936472099,-2.6303053397190985,1.6989392059258945
1,-1,Fz,P0,-0.109375,-0.42465631604129789,-2.1756807294854439,1.9985481458783925
1,-1,Fz,P0,-0.10546875,0.081780720493467948,-1.6006369406843117,2.4825243604537648
1,-1,Fz,P0,-0.1015625,0.69776015156345272,-1.0599424059674172,3.0802811749023689
1,-1,Fz,P0,-0.09765625,1.3268052167029487,-0.67306956045664046,3.684284176129955
1,-1,Fz,P0,-0.09375,1.8461173658614993,-0.36850550529442089,4.443011482997596
1,-1,Fz,P0,-0.08984375,2.1523974253611624,-0.097707360307917934,4.752587791700396
1,-1,Fz,P0,-0.0859375,2.2016712194043841,0.19651248504755178,4.3310441322429192
1,-1,Fz,P0,-0.08203125,2.020448545775682,0.48915712172062148,3.8475569119023465
1,-1,Fz,P0,-0.078125,1.6858959241565383,0.42105408441727493,3.4612043566738788
1,-1,Fz,P0,-0.07421875,1.2927260851652318,-0.089169984732074298,3.2442819647516639
1,-1,Fz,P0,-0.0703125,0.92564135087790433,-0.69001737087494963,3.1228612996809435
1,-1,Fz,P0,-0.06640625,0.64190955019135065,-1.1602291121143273,3.0440670948875002
1,-1,Fz,P0,-0.0625,0.45981884480167423,-1.4394064592183247,2.9264936633419261
1,-1,Fz,P0,-0.05859375,0.35500157528909537,-1.7583398201465372,2.9376294991453529
1,-1,Fz,P0,-0.0546875,0.27402117343426241,-2.0247010810007224,2.9029944061432857
1,-1,Fz,P0,-0.05078125,0.16574194800968295,-2.0950417138070576,2.8190368321963368
1,-1,Fz,P0,-0.046875,0.011523104847861471,-2.1007092035932309,2.6087911513015261
1,-1,Fz,P0,-0.04296875,-0.16972451205099606,-2.1228166966634672,2.2699881979343464
1,-1,Fz,P0,-0.0390625,-0.34527237942955863,-2.2644100710816146,1.8475483759124265
1,-1,Fz,P0,-0.03515625,-0.49935968488559868,-2.3587487727336618,1.5000676724646465
1,-1,Fz,P0,-0.03125,-0.64506452524201541,-2.3728647375798935,1.1119117285792852
1,-1,Fz,P0,-0.02734375,-0.80999893179786742,-2.5703001992067191,0.86516424360830768
1,-1,Fz,P0,-0.0234375,-1.0100235700776694,-2.6550810924016139,0.54623102953114022
1,-1,Fz,P0,-0.01953125,-1.232156679440213,-2.7468024751745608,0.29387004559345004
1,-1,Fz,P0,-0.015625,-1.4393784948397268,-3.0029057385176259,0.13490244179719674
1,-1,Fz,P0,-0.01171875,-1.5940629083369782,-3.2357747636983167,0.096435284205135391
1,-1,Fz,P0,-0.0078125,-1.6826923645287888,-3.4911897103812626,0.34353657191561499
1,-1,Fz,P0,-0.00390625,-1.722938237156076,-3.735973042470341,0.5660008168825309
1,-1,Fz,P0,0,-1.7485566540414175,-4.0206066554036965,0.93866463108824483
1,-1,Fz,P0,0.00390625,-1.7848648295131235,-4.3461032380547771,1.1955914887259527
1,-1,Fz,P0,0.0078125,-1.8311087090841045,-4.5060781650664463,1.2531624300764834
1,-1,Fz,P0,0.01171875,-1.8557838296192428,-4.495105993227039,1.0528270873305781
1,-1,Fz,P0,0.015625,-1.8014267867480989,-4.2788899895412138,0.9069507807827909
1,-1,Fz,P0,0.01953125,-1.5969075403520927,-4.124125519274533,0.87782096844234625
1,-1,Fz,P0,0.0234375,-1.1845124013117967,-3.7405225936950837,1.2791491689046197
1,-1,Fz,P0,0.02734375,-0.57295096102182275,-3.4855809142416967,2.568126442210998
1,-1,Fz,P0,0.03125,0.088725694104524161,-3.836443298362755,4.5431400732219238
1,-1,Fz,P0,0.03515625,0.45774676818609183,-4.4761093731253894,6.1079707830580521
1,-1,Fz,P0,0.0390625,0.033788946527420316,-5.0006481810002006,5.5215762056455482
1,-1,Fz,P0,0.04296875,-1.6705468958956016,-5.5334690227149759,1.9616815740163938
1,-1,Fz,P0,0.046875,-4.8671299314408092,-10.621764521662998,-0.44358929790063628
1,-1,Fz,P0,0.05078125,-9.2798933574184108,-22.999311940561011,-0.91376364930146114
1,-1,Fz,P0,0.0546875,-14.148497849524075,-38.05674900941284,-1.2070832002813126
1,-1,Fz,P0,0.05859375,-18.501709301729658,-51.628773941749039,-1.6883292185840315
1,-1,Fz,P0,0.0625,-21.56487840285963,-60.862486860672085,-1.9305451766103359
1,-1,Fz,P0,0.06640625,-23.061363895349842,-65.401996739909293,-1.928189810978904
1,-1,Fz,P0,0.0703125,-23.247312542483414,-66.018678586034227,-1.7388506223673748
1,-1,Fz,P0,0.07421875,-22.703330181907145,-64.385704061555074,-1.5225669935536279
1,-1,Fz,P0,0.078125,-22.037024350981206,-62.499607143639921,-1.4563758003598659
1,-1,Fz,P0,0.08203125,-21.654403009932949,-61.226734330320632,-1.3965447212386652
1,-1,Fz,P0,0.0859375,-21.676507519362954,-60.921957746231499,-1.4276997135495897
1,-1,Fz,P0,0.08984375,-21.988863827228229,-61.332678501310397,-1.439622674148314
1,-1,Fz,P0,0.09375,-22.363882995185094,-61.853716993995974,-1.4779734005462266
1,-1,Fz,P0,0.09765625,-22.591552997457782,-62.111318696439696,-1.6552959742999502
1,-1,Fz,P0,0.1015625,-22.570394750768841,-61.914353781759011,-1.9230832972026142
1,-1,Fz,P0,0.10546875,-22.334380848491183,-61.348633455717554,-2.0658627116014885
1,-1,Fz,P0,0.109375,-22.017512478681574,-60.693921829104987,-1.9031373201590476
1,-1,Fz,P0,0.11328125,-21.77994731745413,-60.255448993004414,-1.897521957896698
1,-1,Fz,P0,0.1171875,-21.731106244910961,-60.21875308923304,-1.9408270293470962
1,-1,Fz,P0,0.12109375,-21.883457977289417,-60.665423139070285,-2.0499970543294697
1,-1,Fz,P0,0.125,-22.155708548999236,-61.239414824414915,-2.2075272741601348
1,-1,Fz,P0,0.12890625,-22.419443692336092,-61.728322977907986,-2.0867857167968125
1,-1,Fz,P0,0.1328125,-22.561069705864753,-62.014821106806863,-2.1747714008628409
1,-1,Fz,P0,0.13671875,-22.526284115265625,-61.990087627118271,-2.0715732876159998
1,-1,Fz,P0,0.140625,-22.330365138714779,-61.513571902087584,-1.8315731801798725
1,-1,Fz,P0,0.14453125,-22.040380298837409,-60.824341885315135,-1.51624414979126
1,-1,Fz,P0,0.1484375,-21.746093329483564,-60.349660428101629,-1.238729765438388
1,-1,Fz,P0,0.15234375,-21.530107390257815,-59.997348532088211,-1.1762460632240546
1,-1,Fz,P0,0.15625,-21.439490662443703,-59.987175071669,-0.97905613205223119
1,-1,Fz,P0,0.16015625,-21.464878890841995,-60.085152598132872,-0.99558490906264163
1,-1,Fz,P0,0.1640625,-21.541213826030834,-60.146037720169232,-1.1362301965921477
1,-1,Fz,P0,0.16796875,-21.578928421279514,-60.139650773353644,-1.2439417503684647
1,-1,Fz,P0,0.171875,-21.513937941004134,-60.193813533873602,-1.0420671106789043
1,-1,Fz,P0,0.17578125,-21.347247502069283,-60.164080670923475,-0.58348834459336507
1,-1,Fz,P0,0.1796875,-21.147605072985179,-59.99563862161073,-0.18973660633105352
1,-1,Fz,P0,0.18359375,-21.01318351395992,-59.799371636474099,0.31044644450322201
1,-1,Fz,P0,0.1875,-21.014424895526783,-59.708139539023726,0.45019836075234632
1,-1,Fz,P0,0.19140625,-21.15134648577704,-59.700003994691073,0.3743694702207328
1,-1,Fz,P0,0.1953125,-21.348108105645689,-59.685566946689939,0.22216659128815008
1,-1,Fz,P0,0.19921875,-21.485305150017592,-59.579042489014299,-0.03762450352811289
1,-1,Fz,P0,0.203125,-21.453171407691165,-59.385381654786762,-0.15028281161584736
1,-1,Fz,P0,0.20703125,-21.204770174193118,-58.93590111650775,-0.15961443589095606
1,-1,Fz,P0,0.2109375,-20.791657270910438,-58.248788391602652,0.18810133370618543
1,-1,Fz,P0,0.21484375,-20.367155456884841,-57.774447456175885,0.78220749342173268
1,-1,Fz,P0,0.21875,-20.145975491551535,-57.411901523543229,0.78747688301816698
1,-1,Fz,P0,0.22265625,-20.322837011642065,-57.466742584047012,0.18350445098872128
1,-1,Fz,P0,0.2265625,-20.979152692706339,-57.640787802853836,-1.1966418153044163
1,-1,Fz,P0,0.23046875,-22.030589065676626,-57.412871781196124,-3.0384851478338075
