trial_key,task,channel,effective_pre_s,effective_post_s,rmse_native,training_scaled_rmse
A_Task-1_trial-001,1,Fz,2,3,1.8840394438721533,0.019416493639093712
A_Task-1_trial-001,1,F3,2,3,14.697326821360395,0.12515073057802126
A_Task-1_trial-001,1,F4,2,3,15.394287984703304,0.10451851111238845
A_Task-1_trial-002,1,Fz,2,3,1.8265966901681694,0.018824501329414066
A_Task-1_trial-002,1,F3,2,3,8.126712671948475,0.069200613176394934
A_Task-1_trial-002,1,F4,2,3,2.4350204852343067,0.016532412275107929
A_Task-1_trial-003,1,Fz,2,3,6.9905724549314208,0.072043292960914329
A_Task-1_trial-003,1,F3,2,3,4.5981438514841768,0.039154131177088172
A_Task-1_trial-003,1,F4,2,3,29.337724430053449,0.1991865606192133
A_Task-1_trial-004,1,Fz,2,3,0.62863234031585791,0.0064785458058062339
A_Task-1_trial-004,1,F3,2,3,15.525577459022898,0.13220345340749018
A_Task-1_trial-004,1,F4,2,3,62.680399132245007,0.4255644690902381
A_Task-1_trial-005,1,Fz,2,3,3.4504027943303091,0.035559087749636162
A_Task-1_trial-005,1,F3,2,3,0.74555701999071167,0.006348569836781612
A_Task-1_trial-005,1,F4,2,3,1.4540514898354571,0.0098721874600088064
A_Task-1_trial-006,1,Fz,2,3,5.3155692089496789,0.054781080125166109
A_Task-1_trial-006,1,F3,2,3,34.864549880773978,0.29687874141243703
A_Task-1_trial-006,1,F4,2,3,38.647424880571783,0.26239416274783239
A_Task-1_trial-007,1,Fz,2,3,2.0638517403106693,0.02126959938026321
A_Task-1_trial-007,1,F3,2,3,1.674055459923727,0.014254923115208205
A_Task-1_trial-007,1,F4,2,3,11.059872532035319,0.075090280972381865
A_Task-1_trial-008,1,Fz,2,3,0.48651787515473421,0.0050139455726216217
A_Task-1_trial-008,1,F3,2,3,18.510896022082669,0.15762404884747624
A_Task-1_trial-008,1,F4,2,3,26.989948496542684,0.18324648952012296
A_Task-1_trial-009,1,Fz,2,3,2.0735664181332436,0.021369716700397542
A_Task-1_trial-009,1,F3,2,3,19.561843618757784,0.16657308162886281
A_Task-1_trial-009,1,F4,2,3,5.5013870738763426,0.037351307613956962
A_Task-1_trial-010,1,Fz,2,3,1.6246525151938986,0.016743309345035404
A_Task-1_trial-010,1,F3,2,3,1.9584064625066469,0.016676229802225953
A_Task-1_trial-010,1,F4,2,3,3.4529932098354972,0.023443871488685094
A_Task-1_trial-011,1,Fz,2,3,3.0854537104451776,0.031798003241084026
A_Task-1_trial-011,1,F3,2,3,11.185678136000599,0.095248326974435388
A_Task-1_trial-011,1,F4,2,3,3.4574508014645255,0.02347413601541579
A_Task-1_trial-012,1,Fz,2,3,0.65265603261107863,0.0067261286630308252
A_Task-1_trial-012,1,F3,2,3,0.86727994178648848,0.0073850653012964831
A_Task-1_trial-012,1,F4,2,3,2.3671734301820275,0.016071769133673211
A_Task-1_trial-013,1,Fz,2,3,1.2733770200641941,0.013123141816728481
A_Task-1_trial-013,1,F3,2,3,3.0599307872917834,0.026055933721986873
A_Task-1_trial-013,1,F4,2,3,0.73411238963915348,0.0049842080407020983
A_Task-1_trial-014,1,Fz,2,3,1.0077042293938703,0.010385176819812708
A_Task-1_trial-014,1,F3,2,3,2.9375713800589862,0.025014018454373552
A_Task-1_trial-014,1,F4,2,3,6.0562909552808666,0.041118791212582391
A_Task-1_trial-015,1,Fz,2,3,2.0097057544167023,0.020711582830178706
A_Task-1_trial-015,1,F3,2,3,27.57540042660202,0.23481014958142488
A_Task-1_trial-015,1,F4,2,3,49.489580467716422,0.33600626876684697
A_Task-1_trial-016,1,Fz,2,3,8.9313364187739417,0.092044376951748053
A_Task-1_trial-016,1,F3,2,3,27.957214605181814,0.23806137505767003
A_Task-1_trial-016,1,F4,2,3,23.965609539487769,0.16271293803630837
A_Task-1_trial-017,1,Fz,2,3,4.64038892130303,0.047822821473537683
A_Task-1_trial-017,1,F3,2,3,11.482882456058581,0.097779082276967175
A_Task-1_trial-017,1,F4,2,3,18.750519526925373,0.12730542558937177
A_Task-1_trial-018,1,Fz,2,3,1.9764166804279466,0.020368512999312756
A_Task-1_trial-018,1,F3,2,3,2.3681028973759788,0.020164878368207944
A_Task-1_trial-018,1,F4,2,3,3.5625401312601799,0.024187633144672739
A_Task-1_trial-019,1,Fz,2,3,1.9516282112983512,0.020113048521250419
A_Task-1_trial-019,1,F3,2,3,4.0296773066141451,0.034313522795416294
A_Task-1_trial-019,1,F4,2,3,0.68714808426941754,0.0046653469619987583
A_Task-1_trial-020,1,Fz,2,3,5.3132278125158736,0.054756950211585241
A_Task-1_trial-020,1,F3,2,3,7.6326447144557257,0.064993523915404749
A_Task-1_trial-020,1,F4,2,3,7.5255242281861658,0.051094054395487115
A_Task-1_trial-021,1,Fz,2,3,1.3679895266761208,0.014098197375562019
A_Task-1_trial-021,1,F3,2,3,1.0122518475982043,0.0086195305987038767
A_Task-1_trial-021,1,F4,2,3,6.7855866642737732,0.046070296715164522
A_Task-1_trial-022,1,Fz,2,3,0.9184656212350597,0.009465503469388575
A_Task-1_trial-022,1,F3,2,3,9.1975713702611905,0.078319193042557314
A_Task-1_trial-022,1,F4,2,3,14.896101707290549,0.10113610797535841
A_Task-1_trial-023,1,Fz,2,3,2.1022129607344491,0.021664941630006859
A_Task-1_trial-023,1,F3,2,3,14.395678425008674,0.12258213306093808
A_Task-1_trial-023,1,F4,2,3,22.320477850166405,0.15154342406316884
A_Task-1_trial-024,1,Fz,2,3,2.588046970870443,0.026671839441059816
A_Task-1_trial-024,1,F3,2,3,2.5395378562661608,0.02162468195102937
A_Task-1_trial-024,1,F4,2,3,1.8018427907832082,0.012233493743808339
A_Task-1_trial-025,1,Fz,2,3,2.9606072713292968,0.030511363463535137
A_Task-1_trial-025,1,F3,2,3,9.3208023500523272,0.079368529927975953
A_Task-1_trial-025,1,F4,2,3,21.555432000661433,0.14634919532050619
A_Task-1_trial-026,1,Fz,2,3,1.2490121016287812,0.012872042358404013
A_Task-1_trial-026,1,F3,2,3,15.025368401376076,0.12794407142822703
A_Task-1_trial-026,1,F4,2,3,5.1054315260778314,0.034662993327273947
A_Task-1_trial-027,1,Fz,2,3,1.9336419079800509,0.019927685658967218
A_Task-1_trial-027,1,F3,2,3,20.691676313980924,0.17619383708710082
A_Task-1_trial-027,1,F4,2,3,29.337630900335792,0.19918592560531437
A_Task-1_trial-028,1,Fz,2,3,4.7633646128691298,0.049090181740766972
A_Task-1_trial-028,1,F3,2,3,4.6051131789773674,0.039213476419798748
A_Task-1_trial-028,1,F4,2,3,4.976210920444232,0.033785658479485906
A_Task-1_trial-029,1,Fz,2,3,4.5300771178560373,0.046685972435205746
A_Task-1_trial-029,1,F3,2,3,16.858650067108961,0.14355483810780514
A_Task-1_trial-029,1,F4,2,3,23.528604063444735,0.15974591794746995
A_Task-1_trial-030,1,Fz,2,3,2.6377424797700497,0.02718399035996925
A_Task-1_trial-030,1,F3,2,3,3.6586760393513433,0.031154371460778311
A_Task-1_trial-030,1,F4,2,3,1.5835743065661019,0.010751574150268301
A_Task-1_trial-031,1,Fz,2,3,0.27300814272390694,0.0028135615121331991
A_Task-1_trial-031,1,F3,2,3,5.8718999450843343,0.050000423678428281
A_Task-1_trial-031,1,F4,2,3,4.8208433308058254,0.032730800394444065
A_Task-1_trial-032,1,Fz,2,3,1.1743488021779103,0.012102578914537835
A_Task-1_trial-032,1,F3,2,3,3.2054429109733262,0.027294999084555908
A_Task-1_trial-032,1,F4,2,3,2.3095227542449561,0.015680353641150734
A_Task-1_trial-033,1,Fz,2,3,2.0049522601525074,0.020662594370067424
A_Task-1_trial-033,1,F3,2,3,2.2913890267138206,0.019511644138913705
A_Task-1_trial-033,1,F4,2,3,2.6540997238017656,0.018019836432266689
A_Task-1_trial-034,1,Fz,2,3,1.5630559314942003,0.016108508582511533
A_Task-1_trial-034,1,F3,2,3,2.0549942822878959,0.017498694755035835
A_Task-1_trial-034,1,F4,2,3,3.1222542039065599,0.021198340646282173
A_Task-1_trial-035,1,Fz,2,3,0.46022459111717939,0.004742972805078698
A_Task-1_trial-035,1,F3,2,3,0.27088516834263771,0.0023066423665261764
