trial_key,task,record_id,split_role,method,weight,peak_to_peak_proxy,first_difference_rms_proxy,prebaseline_abs_error,native_anomaly_fraction,retained
A_Task-1_trial-001,1,A_Task-1,development,P0,1,106.07220176312268,2.9477286562868907,5.7470368333537518e-16,0,True
A_Task-1_trial-001,1,A_Task-1,development,W0,1,106.07220176312268,2.9477286562868907,5.7470368333537518e-16,0,True
A_Task-1_trial-001,1,A_Task-1,development,SELECTED,1,106.07220176312268,2.9477286562868907,5.7470368333537518e-16,0,True
A_Task-1_trial-002,1,A_Task-1,development,P0,1,82.001108817076883,1.8949045421297868,5.4335620969890011e-15,0,True
A_Task-1_trial-002,1,A_Task-1,development,W0,1,82.001108817076883,1.8949045421297868,5.4335620969890011e-15,0,True
A_Task-1_trial-002,1,A_Task-1,development,SELECTED,1,82.001108817076883,1.8949045421297868,5.4335620969890011e-15,0,True
A_Task-1_trial-003,1,A_Task-1,development,P0,1,513.54901291858801,3.1375393879412177,1.1842378929335002e-15,0.08203125,True
A_Task-1_trial-003,1,A_Task-1,development,W0,0.1796875,513.54901291858801,3.1375393879412177,1.1842378929335002e-15,0.08203125,True
A_Task-1_trial-003,1,A_Task-1,development,SELECTED,1,513.54901291858801,3.1375393879412177,1.1842378929335002e-15,0.08203125,True
A_Task-1_trial-004,1,A_Task-1,development,P0,1,75.827056049014359,2.1583152472781091,1.1145768404080003e-15,0,True
A_Task-1_trial-004,1,A_Task-1,development,W0,1,75.827056049014359,2.1583152472781091,1.1145768404080003e-15,0,True
A_Task-1_trial-004,1,A_Task-1,development,SELECTED,1,75.827056049014359,2.1583152472781091,1.1145768404080003e-15,0,True
A_Task-1_trial-005,1,A_Task-1,development,P0,1,53.891302244978192,2.0962412391539669,8.7076315656875019e-16,0,True
A_Task-1_trial-005,1,A_Task-1,development,W0,1,53.891302244978192,2.0962412391539669,8.7076315656875019e-16,0,True
A_Task-1_trial-005,1,A_Task-1,development,SELECTED,1,53.891302244978192,2.0962412391539669,8.7076315656875019e-16,0,True
A_Task-1_trial-006,1,A_Task-1,development,P0,1,52.67037152221824,1.9626881479364937,8.0110210404325022e-16,0,True
A_Task-1_trial-006,1,A_Task-1,development,W0,1,52.67037152221824,1.9626881479364937,8.0110210404325022e-16,0,True
A_Task-1_trial-006,1,A_Task-1,development,SELECTED,1,52.67037152221824,1.9626881479364937,8.0110210404325022e-16,0,True
A_Task-1_trial-007,1,A_Task-1,development,P0,1,51.325777178936221,2.2307327614838117,4.353815782843751e-16,0,True
A_Task-1_trial-007,1,A_Task-1,development,W0,1,51.325777178936221,2.2307327614838117,4.353815782843751e-16,0,True
A_Task-1_trial-007,1,A_Task-1,development,SELECTED,1,51.325777178936221,2.2307327614838117,4.353815782843751e-16,0,True
A_Task-1_trial-008,1,A_Task-1,development,P0,1,100.01475333705777,2.1334281576487739,1.1842378929335002e-15,0,True
A_Task-1_trial-008,1,A_Task-1,development,W0,1,100.01475333705777,2.1334281576487739,1.1842378929335002e-15,0,True
A_Task-1_trial-008,1,A_Task-1,development,SELECTED,1,100.01475333705777,2.1334281576487739,1.1842378929335002e-15,0,True
A_Task-1_trial-009,1,A_Task-1,development,P0,1,40.080516307431346,1.9068402785175094,4.8762736767850017e-16,0,True
