task,condition,channel,method,selected_k,n_train_trials,n_historical_trials,train_rmse,historical_P0_rmse,converged,boundary,best_start_nfev,successful_bootstraps,development_selection_loss,parameter,value,ci_low,ci_high,interval_scope
1,-1,Fz,P0,0,85,17,10.699350421693365,30.659845138968468,True,False,1,100,0.11830222517949947,offset,-27.062365191653253,-53.368231286110955,1.9198542475808842,conditional_on_operator_and_selected_K
1,-1,F3,P0,0,85,17,4.2706377724439211,8.9377066484794128,True,False,1,100,0.15991362632905579,offset,-1.5799887202679033,-16.873837211896461,7.6033908133328394,conditional_on_operator_and_selected_K
1,-1,F4,P0,0,85,17,6.6293795887382023,12.819914454420131,True,False,1,100,0.11106742345304049,offset,5.4937249004268489,-4.4677996072029966,13.073745347441664,conditional_on_operator_and_selected_K
1,1,Fz,P0,1,75,23,3.3925286313359342,35.613808193745989,True,True,22,100,0.011971051796098893,offset,4.806868465174289,-4.1319011049198791,13.104833948387796,conditional_on_operator_and_selected_K
1,1,Fz,P0,1,75,23,3.3925286313359342,35.613808193745989,True,True,22,100,0.011971051796098893,late_amplitude,-10.483982972208999,-17.917995640862099,-4.8090905494915237,conditional_on_operator_and_selected_K
1,1,Fz,P0,1,75,23,3.3925286313359342,35.613808193745989,True,True,22,100,0.011971051796098893,late_mu_s,0.49994334244008387,0.38150596804835207,0.49999999999999994,conditional_on_operator_and_selected_K
1,1,Fz,P0,1,75,23,3.3925286313359342,35.613808193745989,True,True,22,100,0.011971051796098893,late_sigma_s,0.069600678282455516,0.057826718357109813,0.19999999999999876,conditional_on_operator_and_selected_K
1,1,F3,P0,2,75,23,1.3359196370023436,4.3977471737782627,True,True,10,100,0.088717264200838253,offset,14.255525702018032,2.9162449065775804,32.013538786785176,conditional_on_operator_and_selected_K
1,1,F3,P0,2,75,23,1.3359196370023436,4.3977471737782627,True,True,10,100,0.088717264200838253,early_amplitude,-14.514016113411261,-25.509374838281634,-8.0015009200820995,conditional_on_operator_and_selected_K
1,1,F3,P0,2,75,23,1.3359196370023436,4.3977471737782627,True,True,10,100,0.088717264200838253,early_mu_s,0.12907047361407656,0.050000000013322811,0.22260446675747506,conditional_on_operator_and_selected_K
1,1,F3,P0,2,75,23,1.3359196370023436,4.3977471737782627,True,True,10,100,0.088717264200838253,early_sigma_s,0.1456035256242191,0.092531647154403415,0.19999999999994669,conditional_on_operator_and_selected_K
1,1,F3,P0,2,75,23,1.3359196370023436,4.3977471737782627,True,True,10,100,0.088717264200838253,late_amplitude,-21.250836631292298,-39.140981494553074,-11.625816463015292,conditional_on_operator_and_selected_K
1,1,F3,P0,2,75,23,1.3359196370023436,4.3977471737782627,True,True,10,100,0.088717264200838253,late_mu_s,0.49999999999999828,0.48709272908821616,0.49999999999999994,conditional_on_operator_and_selected_K
