task,partition,inner_fold,candidate,loss,n_train,n_validation
2,historical,0,W0,0.074217072155679326,120,40
2,historical,0,U0_L1,0.074212190577335455,120,40
2,historical,0,U0_L10,0.074181765700268812,120,40
2,historical,0,U0_L100,0.074044162734106342,120,40
2,historical,0,U2_L1,0.074212884407814331,120,40
2,historical,0,U2_L10,0.074192433624471671,120,40
2,historical,0,U2_L100,0.074133242665369539,120,40
2,historical,0,U4_L1,0.074212814410061695,120,40
2,historical,0,U4_L10,0.074190612591856331,120,40
2,historical,0,U4_L100,0.074129751805189062,120,40
2,historical,1,P0,0.060184523056287902,120,40
2,historical,1,W0,0.071283334153894068,120,40
2,historical,1,U0_L1,0.071282100139062207,120,40
2,historical,1,U0_L10,0.071272138111065739,120,40
2,historical,1,U0_L100,0.071213329473647863,120,40
2,historical,1,U2_L1,0.071281363062690395,120,40
2,historical,1,U2_L10,0.071263730871101966,120,40
2,historical,1,U2_L100,0.071165264653677618,120,40
2,historical,1,U4_L1,0.071279418716235499,120,40
2,historical,1,U4_L10,0.071258439931455503,120,40
2,historical,1,U4_L100,0.071189853005646342,120,40
2,historical,2,P0,0.13458007308799927,120,40
2,historical,2,W0,0.14279128918586806,120,40
2,historical,2,U0_L1,0.14278362962907623,120,40
2,historical,2,U0_L10,0.1427548609531952,120,40
2,historical,2,U0_L100,0.14269796570169724,120,40
2,historical,2,U2_L1,0.14278511511662118,120,40
2,historical,2,U2_L10,0.14275508316600552,120,40
2,historical,2,U2_L100,0.142652394814821,120,40
2,historical,2,U4_L1,0.14278583379861198,120,40
2,historical,2,U4_L10,0.14276084616018944,120,40
2,historical,2,U4_L100,0.14267544789827671,120,40
2,historical,3,P0,0.037026039667251258,120,40
2,historical,3,W0,0.031552679488907193,120,40
2,historical,3,U0_L1,0.031545039666178477,120,40
2,historical,3,U0_L10,0.031517979524644003,120,40
2,historical,3,U0_L100,0.031502479797076655,120,40
2,historical,3,U2_L1,0.031544460671297958,120,40
2,historical,3,U2_L10,0.031514940043710693,120,40
2,historical,3,U2_L100,0.031494371300743257,120,40
2,historical,3,U4_L1,0.031546998832489168,120,40
2,historical,3,U4_L10,0.031528771466023973,120,40
2,historical,3,U4_L100,0.031528733016721329,120,40
