task,method,family,time_s,truth_F3,restored_F3
1,P0,broad_common,-0.19921875,-8.8246661217973192e-05,0.47359739970979708
1,P0,broad_common,-0.1953125,-8.8246287091138103e-05,0.4542294569131291
1,P0,broad_common,-0.19140625,-8.8245768975815932e-05,0.43486243519557699
1,P0,broad_common,-0.1875,-8.8245053201136225e-05,0.41549832983161794
1,P0,broad_common,-0.18359375,-8.8244066766710668e-05,0.39613914598297573
1,P0,broad_common,-0.1796875,-8.8242710635318155e-05,0.37678689845798474
1,P0,broad_common,-0.17578125,-8.8240850790805139e-05,0.35744361146999415
1,P0,broad_common,-0.171875,-8.823830634926531e-05,0.33811131839553843
1,P0,broad_common,-0.16796875,-8.8234833795879002e-05,0.31879206153324113
1,P0,broad_common,-0.1640625,-8.82301061424104e-05,0.29948789186467772
1,P0,broad_common,-0.16015625,-8.8223685444779331e-05,0.28020086881879269
1,P0,broad_common,-0.15625,-8.8214986665776743e-05,0.26093306004191397
1,P0,broad_common,-0.15234375,-8.8203230289341845e-05,0.24168654117598831
1,P0,broad_common,-0.1484375,-8.8187380358286128e-05,0.22246339564840412
1,P0,broad_common,-0.14453125,-8.8166063678042544e-05,0.20326571447768726
1,P0,broad_common,-0.140625,-8.81374647572311e-05,0.18409559610053661
1,P0,broad_common,-0.13671875,-8.8099189583302302e-05,0.16495514622713703
1,P0,broad_common,-0.1328125,-8.8048089487386232e-05,0.14584647773353199
1,P0,broad_common,-0.12890625,-8.7980034050945096e-05,0.12677171060214221
1,P0,broad_common,-0.125,-8.78896191444882e-05,0.10773297192437825
1,P0,broad_common,-0.12109375,-8.7769792641391074e-05,0.088732395982843659
1,P0,broad_common,-0.1171875,-8.76113759696201e-05,0.069772124435008021
1,P0,broad_common,-0.11328125,-8.7402454274870624e-05,0.050854306625619738
1,P0,broad_common,-0.109375,-8.7127601362182254e-05,0.031981100061730938
1,P0,broad_common,-0.10546875,-8.6766897514776287e-05,0.013154671092283632
1,P0,broad_common,-0.1015625,-8.6294688472442641e-05,-0.0056228041559784891
1,P0,broad_common,-0.09765625,-8.5678021954426899e-05,-0.024349138522615554
1,P0,broad_common,-0.09375,-8.4874683748635321e-05,-0.043022132159586945
1,P0,broad_common,-0.08984375,-8.3830738118032843e-05,-0.061639570384038667
1,P0,broad_common,-0.0859375,-8.2477456591877402e-05,-0.080199220921795433
1,P0,broad_common,-0.08203125,-8.0727494542229408e-05,-0.098698830400917537
1,P0,broad_common,-0.078125,-7.8470145652017681e-05,-0.11713611992536777
1,P0,broad_common,-0.07421875,-7.5565469742505092e-05,-0.13550877952420537
1,P0,broad_common,-0.0703125,-7.183704865203891e-05,-0.15381446123094689
1,P0,broad_common,-0.06640625,-6.7063077075764829e-05,-0.1720507704999461
1,P0,broad_common,-0.0625,-6.096543954634337e-05,-0.1902152556109149
1,P0,broad_common,-0.05859375,-5.3196360051275304e-05,-0.20830539464802245
1,P0,broad_common,-0.0546875,-4.3322136080037222e-05,-0.22631857956531176
1,P0,broad_common,-0.05078125,-3.0803383070046105e-05,-0.24425209676433335
1,P0,broad_common,-0.046875,-1.4971117151087499e-05,-0.26210310351183796
1,P0,broad_common,-0.04296875,5.0021073420780063e-06,-0.27986859941393805
1,P0,broad_common,-0.0390625,3.013691498149683e-05,-0.29754539203727326
1,P0,broad_common,-0.03515625,6.1688731653660437e-05,-0.31513005562644691
1,P0,broad_common,-0.03125,0.00010119752047305799,-0.33261888170945442
1,P0,broad_common,-0.02734375,0.00015054701384791365,-0.35000782020839072
1,P0,broad_common,-0.0234375,0.00021203501603606748,-0.3672924094810246
1,P0,broad_common,-0.01953125,0.00028845655946762065,-0.38446769350989696
1,P0,broad_common,-0.015625,0.00038320192382404299,-0.40152812422988049
1,P0,broad_common,-0.01171875,0.00050037176830552684,-0.41846744674369285
1,P0,broad_common,-0.0078125,0.00064491188295223711,-0.43527856491942707
1,P0,broad_common,-0.00390625,0.00082277033175393011,-0.45195338459729095
1,P0,broad_common,0,0.0010410800350754289,-0.46848263135795332
1,P0,broad_common,0.00390625,0.0013083701170400008,-0.48485563952677735
1,P0,broad_common,0.0078125,0.0016348096191164307,-0.50106010881262408
1,P0,broad_common,0.01171875,0.0020324874470538626,-0.51708182471400566
1,P0,broad_common,0.015625,0.0025157326658223878,-0.53290433857785358
1,P0,broad_common,0.01953125,0.0031014794760796578,-0.54850860297731119
1,P0,broad_common,0.0234375,0.0038096813839603063,-0.56387255789667767
1,P0,broad_common,0.02734375,0.0046637792000302596,-0.57897066308758527
1,P0,broad_common,0.03125,0.0056912275577049838,-0.59377337190604251
1,P0,broad_common,0.03515625,0.006924084609284069,-0.60824654197211236
1,P0,broad_common,0.0390625,0.0083996694204497204,-0.62235077813130912
1,P0,broad_common,0.04296875,0.010161291321711086,-0.63604070345915931
1,P0,broad_common,0.046875,0.012259055066881616,-0.64926415445875696
1,P0,broad_common,0.05078125,0.014750745072586859,-0.66196129717725505
1,P0,broad_common,0.0546875,0.017702791247131613,-0.67406366173287946
1,P0,broad_common,0.05859375,0.021191317940287183,-0.68549309372082901
1,P0,broad_common,0.0625,0.025303276337228838,-0.69616062217475738
1,P0,broad_common,0.06640625,0.030137659161360731,-0.70596524521900861
1,P0,broad_common,0.0703125,0.03580679482628478,-0.71479263627127798
1,P0,broad_common,0.07421875,0.042437716174656699,-0.72251377565785324
1,P0,broad_common,0.078125,0.050173596653954745,-0.72898351479133128
1,P0,broad_common,0.08203125,0.059175244205112429,-0.73403908263475603
1,P0,broad_common,0.0859375,0.069622640285593881,-0.73749854703050355
