task,condition,channel,k,fold,method,loss,converged,boundary
2,-1,F4,0,2,P0,0.19626174048799516,True,False
2,-1,F4,0,3,P0,0.039012738920459457,True,False
2,-1,F4,1,0,P0,0.28739932357547454,True,False
2,-1,F4,1,1,P0,0.076966807644774149,True,True
2,-1,F4,1,2,P0,0.1697691619444178,True,True
2,-1,F4,1,3,P0,0.028623040263408152,True,True
2,-1,F4,2,0,P0,0.26624290878388973,True,True
2,-1,F4,2,1,P0,0.078840636222087312,True,True
2,-1,F4,2,2,P0,0.15329319941960334,True,True
2,-1,F4,2,3,P0,0.02521465913011213,True,True
2,1,Fz,0,0,P0,0.14690744699544805,True,False
2,1,Fz,0,1,P0,0.57508033930457947,True,False
2,1,Fz,0,2,P0,0.57094840284149462,True,False
2,1,Fz,0,3,P0,0.64807854919928687,True,False
2,1,Fz,1,0,P0,0.18286446421904051,True,True
2,1,Fz,1,1,P0,0.12602611940463515,True,True
2,1,Fz,1,2,P0,0.16948413736576948,True,True
2,1,Fz,1,3,P0,0.19477943866844433,True,True
2,1,Fz,2,0,P0,0.16591763597917997,True,True
2,1,Fz,2,1,P0,0.049036661408539864,True,True
2,1,Fz,2,2,P0,0.08020383968544334,True,True
2,1,Fz,2,3,P0,0.067507282724442452,True,True
2,1,F3,0,0,P0,0.037800538238477142,True,False
2,1,F3,0,1,P0,0.09432070478720872,True,False
2,1,F3,0,2,P0,0.14027159515142018,True,False
2,1,F3,0,3,P0,0.058279406251211738,True,False
2,1,F3,1,0,P0,0.04058923343143328,True,True
2,1,F3,1,1,P0,0.078048047580160027,True,True
2,1,F3,1,2,P0,0.15826503311396772,True,True
2,1,F3,1,3,P0,0.063032720485671823,True,True
2,1,F3,2,0,P0,0.057228964883892793,True,True
2,1,F3,2,1,P0,0.044923673405498431,True,True
2,1,F3,2,2,P0,0.15597157594233277,True,True
2,1,F3,2,3,P0,0.032815950715441439,True,False
2,1,F4,0,0,P0,0.12268132609355258,True,False
2,1,F4,0,1,P0,0.11413189106736076,True,False
2,1,F4,0,2,P0,0.11358096658246582,True,False
2,1,F4,0,3,P0,0.06074954723566605,True,False
2,1,F4,1,0,P0,0.094277435389758718,True,True
2,1,F4,1,1,P0,0.081808369878297524,True,True
2,1,F4,1,2,P0,0.071364154677024713,True,True
2,1,F4,1,3,P0,0.021689828944380981,True,True
2,1,F4,2,0,P0,0.082394279913917928,True,False
2,1,F4,2,1,P0,0.090018090316383095,True,False
2,1,F4,2,2,P0,0.047745238685190393,True,True
2,1,F4,2,3,P0,0.01687395014410098,True,False
